Dates,Open,High,Low,Close,,
01-10-2021,43816.74219,48436.01172,43320.02344,48116.94141,,
02-10-2021,48137.46875,48282.0625,47465.49609,47711.48828,,
03-10-2021,47680.02734,49130.69141,47157.28906,48199.95313,,
04-10-2021,48208.90625,49456.77734,47045.00391,49112.90234,,
05-10-2021,49174.96094,51839.98438,49072.83984,51514.8125,,
06-10-2021,51486.66406,55568.46484,50488.19141,55361.44922,,
07-10-2021,55338.625,55338.625,53525.46875,53805.98438,,
08-10-2021,53802.14453,55922.98047,53688.05469,53967.84766,,
09-10-2021,53929.78125,55397.94531,53735.14453,54968.22266,,
10-10-2021,54952.82031,56401.30469,54264.25781,54771.57813,,
11-10-2021,54734.125,57793.03906,54519.76563,57484.78906,,
12-10-2021,57526.83203,57627.87891,54477.97266,56041.05859,,
13-10-2021,56038.25781,57688.66016,54370.97266,57401.09766,,
14-10-2021,57372.83203,58478.73438,56957.07422,57321.52344,,
15-10-2021,57345.90234,62757.12891,56868.14453,61593.94922,,
16-10-2021,61609.52734,62274.47656,60206.12109,60892.17969,,
17-10-2021,60887.65234,61645.52344,59164.46875,61553.61719,,
18-10-2021,61548.80469,62614.66016,60012.75781,62026.07813,,
19-10-2021,62043.16406,64434.53516,61622.93359,64261.99219,,
20-10-2021,64284.58594,66930.39063,63610.67578,65992.83594,,
21-10-2021,66002.23438,66600.54688,62117.41016,62210.17188,,
22-10-2021,62237.89063,63715.02344,60122.79688,60692.26563,,
23-10-2021,60694.62891,61743.87891,59826.52344,61393.61719,,
24-10-2021,61368.34375,61505.80469,59643.34375,60930.83594,,
25-10-2021,60893.92578,63729.32422,60691.80078,63039.82422,,
26-10-2021,63032.76172,63229.02734,59991.16016,60363.79297,,
27-10-2021,60352,61435.18359,58208.1875,58482.38672,,
28-10-2021,58470.73047,62128.63281,58206.91797,60622.13672,,
29-10-2021,60624.87109,62927.60938,60329.96484,62227.96484,,
30-10-2021,62239.36328,62330.14453,60918.38672,61888.83203,,
31-10-2021,61850.48828,62406.17188,60074.32813,61318.95703,,
01-11-2021,61320.44922,62419.00391,59695.18359,61004.40625,,
02-11-2021,60963.25391,64242.79297,60673.05469,63226.40234,,
03-11-2021,63254.33594,63516.9375,61184.23828,62970.04688,,
04-11-2021,62941.80469,63123.28906,60799.66406,61452.23047,,
05-11-2021,61460.07813,62541.46875,60844.60938,61125.67578,,
06-11-2021,61068.875,61590.68359,60163.78125,61527.48047,,
07-11-2021,61554.92188,63326.98828,61432.48828,63326.98828,,
08-11-2021,63344.06641,67673.74219,63344.06641,67566.82813,,
09-11-2021,67549.73438,68530.33594,66382.0625,66971.82813,,
10-11-2021,66953.33594,68789.625,63208.11328,64995.23047,,
11-11-2021,64978.89063,65579.01563,64180.48828,64949.96094,,
12-11-2021,64863.98047,65460.81641,62333.91406,64155.94141,,
13-11-2021,64158.12109,64915.67578,63303.73438,64469.52734,,
14-11-2021,64455.37109,65495.17969,63647.80859,65466.83984,,
15-11-2021,65521.28906,66281.57031,63548.14453,63557.87109,,
16-11-2021,63721.19531,63721.19531,59016.33594,60161.24609,,
17-11-2021,60139.62109,60823.60938,58515.41016,60368.01172,,
18-11-2021,60360.13672,60948.5,56550.79297,56942.13672,,
19-11-2021,56896.12891,58351.11328,55705.17969,58119.57813,,
20-11-2021,58115.08203,59859.87891,57469.72656,59697.19531,,
21-11-2021,59730.50781,60004.42578,58618.92969,58730.47656,,
22-11-2021,58706.84766,59266.35938,55679.83984,56289.28906,,
23-11-2021,56304.55469,57875.51563,55632.76172,57569.07422,,
24-11-2021,57565.85156,57803.06641,55964.22266,56280.42578,,
25-11-2021,57165.41797,59367.96875,57146.68359,57274.67969,,
26-11-2021,58960.28516,59183.48047,53569.76563,53569.76563,,
27-11-2021,53736.42969,55329.25781,53668.35547,54815.07813,,
28-11-2021,54813.02344,57393.84375,53576.73438,57248.45703,,
29-11-2021,57291.90625,58872.87891,56792.52734,57806.56641,,
30-11-2021,57830.11328,59113.40234,56057.28125,57005.42578,,
01-12-2021,56907.96484,59041.68359,56553.08203,57229.82813,,
02-12-2021,57217.37109,57349.23438,55895.13281,56477.81641,,
03-12-2021,56509.16406,57482.16797,52496.58594,53598.24609,,
04-12-2021,53727.87891,53904.67969,42874.61719,49200.70313,,
05-12-2021,49201.51953,49768.14844,47857.49609,49368.84766,,
06-12-2021,49413.48047,50929.51953,47281.03516,50582.625,,
07-12-2021,50581.82813,51934.78125,50175.80859,50700.08594,,
08-12-2021,50667.64844,51171.375,48765.98828,50504.79688,,
09-12-2021,50450.08203,50797.16406,47358.35156,47672.12109,,
10-12-2021,47642.14453,50015.25391,47023.69922,47243.30469,,
11-12-2021,47264.63281,49458.21094,46942.34766,49362.50781,,
12-12-2021,49354.85547,50724.86719,48725.85156,50098.33594,,
13-12-2021,50114.74219,50205,45894.84766,46737.48047,,
14-12-2021,46709.82422,48431.39844,46424.49609,46612.63281,,
15-12-2021,48379.75391,49473.95703,46671.96484,48896.72266,,
16-12-2021,48900.46484,49425.57422,47529.87891,47665.42578,,
17-12-2021,47653.73047,48004.89453,45618.21484,46202.14453,,
18-12-2021,46219.25391,47313.82813,45598.44141,46848.77734,,
19-12-2021,46853.86719,48089.66406,46502.95313,46707.01563,,
20-12-2021,46707.0625,47401.71875,45579.80859,46880.27734,,
21-12-2021,46886.07813,49300.91797,46698.77344,48936.61328,,
22-12-2021,48937.09766,49544.79688,48450.94141,48628.51172,,
23-12-2021,48626.34375,51332.33984,48065.83594,50784.53906,,
24-12-2021,50806.05078,51814.02734,50514.49609,50822.19531,,
25-12-2021,50854.91797,51176.59766,50236.70703,50429.85938,,
26-12-2021,50428.69141,51196.37891,49623.10547,50809.51563,,
27-12-2021,50802.60938,51956.32813,50499.46875,50640.41797,,
28-12-2021,50679.85938,50679.85938,47414.21094,47588.85547,,
29-12-2021,47623.87109,48119.74219,46201.49609,46444.71094,,
30-12-2021,46490.60547,47879.96484,46060.3125,47178.125,,
31-12-2021,47169.37109,48472.52734,45819.95313,46306.44531,,
01-01-2022,46311.74609,47827.3125,46288.48438,47686.8125,,
02-01-2022,47680.92578,47881.40625,46856.9375,47345.21875,,
03-01-2022,47343.54297,47510.72656,45835.96484,46458.11719,,
04-01-2022,46458.85156,47406.54688,45752.46484,45897.57422,,
05-01-2022,45899.35938,46929.04688,42798.22266,43569.00391,,
06-01-2022,43565.51172,43748.71875,42645.53906,43160.92969,,
07-01-2022,43153.57031,43153.57031,41077.44531,41557.90234,,
08-01-2022,41561.46484,42228.94141,40672.27734,41733.94141,,
09-01-2022,41734.72656,42663.94922,41338.16016,41911.60156,,
10-01-2022,41910.23047,42199.48438,39796.57031,41821.26172,,
11-01-2022,41819.50781,43001.15625,41407.75391,42735.85547,,
12-01-2022,42742.17969,44135.36719,42528.98828,43949.10156,,
13-01-2022,43946.74219,44278.42188,42447.04297,42591.57031,,
14-01-2022,42598.87109,43346.6875,41982.61719,43099.69922,,
15-01-2022,43101.89844,43724.67188,42669.03516,43177.39844,,
16-01-2022,43172.03906,43436.80859,42691.02344,43113.87891,,
17-01-2022,43118.12109,43179.39063,41680.32031,42250.55078,,
18-01-2022,42250.07422,42534.40234,41392.21484,42375.63281,,
19-01-2022,42374.03906,42478.30469,41242.91406,41744.32813,,
20-01-2022,41744.02734,43413.02344,40672.82422,40680.41797,,
21-01-2022,40699.60547,41060.52734,35791.42578,36457.31641,,
22-01-2022,36471.58984,36688.8125,34349.25,35030.25,,
23-01-2022,35047.35938,36433.3125,34784.96875,36276.80469,,
24-01-2022,36275.73438,37247.51953,33184.05859,36654.32813,,
25-01-2022,36654.80469,37444.57031,35779.42969,36954.00391,,
26-01-2022,36950.51563,38825.41016,36374.90625,36852.12109,,
27-01-2022,36841.87891,37148.32422,35629.28125,37138.23438,,
28-01-2022,37128.44531,37952.87891,36211.10938,37784.33203,,
29-01-2022,37780.71484,38576.26172,37406.47266,38138.17969,,
30-01-2022,38151.91797,38266.33984,37437.71094,37917.60156,,
31-01-2022,37920.28125,38647.26172,36733.57422,38483.125,,
01-02-2022,38481.76563,39115.13281,38113.66406,38743.27344,,
02-02-2022,38743.71484,38834.61719,36832.73047,36952.98438,,
03-02-2022,36944.80469,37154.60156,36375.53906,37154.60156,,
04-02-2022,37149.26563,41527.78516,37093.62891,41500.875,,
05-02-2022,41501.48047,41847.16406,41038.09766,41441.16406,,
06-02-2022,41441.12109,42500.78516,41244.90625,42412.43359,,
07-02-2022,42406.78125,44401.86328,41748.15625,43840.28516,,
08-02-2022,43854.65234,45293.86719,42807.83594,44118.44531,,
09-02-2022,44096.70313,44727.80078,43232.96875,44338.79688,,
10-02-2022,44347.80078,45661.17188,43402.80859,43565.11328,,
11-02-2022,43571.12891,43810.83203,42114.53906,42407.9375,,
12-02-2022,42412.30078,42992.55078,41852.57422,42244.46875,,
13-02-2022,42236.56641,42693.05469,41950.94141,42197.51563,,
14-02-2022,42157.39844,42775.77734,41681.95703,42586.91797,,
15-02-2022,42586.46484,44667.21875,42491.03516,44575.20313,,
16-02-2022,44578.27734,44578.27734,43456.69141,43961.85938,,
17-02-2022,43937.07031,44132.97266,40249.37109,40538.01172,,
18-02-2022,40552.13281,40929.15234,39637.61719,40030.97656,,
19-02-2022,40026.02344,40418.87891,39713.05859,40122.15625,,
20-02-2022,40118.10156,40119.89063,38112.8125,38431.37891,,
21-02-2022,38423.21094,39394.4375,36950.47656,37075.28125,,
22-02-2022,37068.76953,38359.85547,36488.93359,38286.02734,,
23-02-2022,38285.28125,39122.39453,37201.81641,37296.57031,,
24-02-2022,37278.56641,38968.83984,34459.21875,38332.60938,,
25-02-2022,38333.74609,39630.32422,38111.34375,39214.21875,,
26-02-2022,39213.08203,40005.34766,38702.53516,39105.14844,,
27-02-2022,39098.69922,39778.94141,37268.97656,37709.78516,,
28-02-2022,37706,43760.45703,37518.21484,43193.23438,,
01-03-2022,43194.50391,44793.60156,42952.58594,44354.63672,,
02-03-2022,44357.61719,45077.57813,43432.85156,43924.11719,,
03-03-2022,43925.19531,44021.57813,41914.75,42451.78906,,
04-03-2022,42458.14063,42479.61328,38805.84766,39137.60547,,
05-03-2022,39148.44922,39566.33594,38777.03516,39400.58594,,
06-03-2022,39404.19922,39640.17578,38211.64844,38419.98438,,
07-03-2022,38429.30469,39430.22656,37260.20313,38062.03906,,
08-03-2022,38059.90234,39304.44141,37957.38672,38737.26953,,
09-03-2022,38742.81641,42465.67188,38706.09375,41982.92578,,
10-03-2022,41974.07031,42004.72656,38832.94141,39437.46094,,
11-03-2022,39439.96875,40081.67969,38347.43359,38794.97266,,
12-03-2022,38794.46484,39308.59766,38772.53516,38904.01172,,
13-03-2022,38884.72656,39209.35156,37728.14453,37849.66406,,
14-03-2022,37846.31641,39742.5,37680.73438,39666.75391,,
15-03-2022,39664.25,39794.62891,38310.21094,39338.78516,,
16-03-2022,39335.57031,41465.45313,39022.34766,41143.92969,,
17-03-2022,41140.84375,41287.53516,40662.87109,40951.37891,,
18-03-2022,40944.83984,42195.74609,40302.39844,41801.15625,,
19-03-2022,41794.64844,42316.55469,41602.66797,42190.65234,,
20-03-2022,42191.40625,42241.16406,41004.75781,41247.82422,,
21-03-2022,41246.13281,41454.41016,40668.04297,41077.99609,,
22-03-2022,41074.10547,43124.70703,40948.28125,42358.80859,,
23-03-2022,42364.37891,42893.50781,41877.50781,42892.95703,,
24-03-2022,42886.65234,44131.85547,42726.16406,43960.93359,,
25-03-2022,43964.54688,44999.49219,43706.28516,44348.73047,,
26-03-2022,44349.85938,44735.99609,44166.27344,44500.82813,,
27-03-2022,44505.35547,46827.54688,44437.29297,46820.49219,,
28-03-2022,46821.85156,48086.83594,46690.20313,47128.00391,,
29-03-2022,47100.4375,48022.28906,47100.4375,47465.73047,,
30-03-2022,47456.89844,47655.14844,46746.21094,47062.66406,,
31-03-2022,47062.14844,47512.02734,45390.53906,45538.67578,,
01-04-2022,45554.16406,46616.24219,44403.14063,46281.64453,,
02-04-2022,46285.5,47028.28125,45782.51172,45868.94922,,
03-04-2022,45859.12891,47313.47656,45634.10547,46453.56641,,
04-04-2022,46445.27344,46791.08984,45235.81641,46622.67578,,
05-04-2022,46624.50781,47106.14063,45544.80859,45555.99219,,
06-04-2022,45544.35547,45544.35547,43193.95313,43206.73828,,
07-04-2022,43207.5,43860.69922,42899.90625,43503.84766,,
08-04-2022,43505.13672,43903.01953,42183.28906,42287.66406,,
09-04-2022,42282.07813,42786.81641,42183.25391,42782.13672,,
10-04-2022,42781.08984,43376.37891,42021.20703,42207.67188,,
11-04-2022,42201.03906,42424.58984,39373.05859,39521.90234,,
12-04-2022,39533.71484,40617.58594,39388.32813,40127.18359,,
13-04-2022,40123.57031,41430.05469,39712.74609,41166.73047,,
14-04-2022,41160.21875,41451.48047,39695.74609,39935.51563,,
15-04-2022,39939.40234,40617.72266,39866.83203,40553.46484,,
16-04-2022,40552.31641,40633.67969,40078.42578,40424.48438,,
17-04-2022,40417.77734,40570.72656,39620.89453,39716.95313,,
18-04-2022,39721.20313,40986.32031,38696.19141,40826.21484,,
19-04-2022,40828.17578,41672.96094,40618.63281,41502.75,,
20-04-2022,41501.74609,42126.30078,40961.09766,41374.37891,,
21-04-2022,41371.51563,42893.58203,40063.82813,40527.36328,,
22-04-2022,40525.86328,40777.75781,39315.41797,39740.32031,,
23-04-2022,39738.72266,39935.85938,39352.20313,39486.73047,,
24-04-2022,39478.375,39845.92578,39233.53906,39469.29297,,
25-04-2022,39472.60547,40491.75391,38338.37891,40458.30859,,
26-04-2022,40448.42188,40713.89063,37884.98438,38117.46094,,
27-04-2022,38120.30078,39397.91797,37997.3125,39241.12109,,
28-04-2022,39241.42969,40269.46484,38941.42188,39773.82813,,
29-04-2022,39768.61719,39887.26953,38235.53516,38609.82422,,
30-04-2022,38605.85938,38771.21094,37697.94141,37714.875,,
01-05-2022,37713.26563,38627.85938,37585.78906,38469.09375,,
02-05-2022,38472.1875,39074.97266,38156.5625,38529.32813,,
03-05-2022,38528.10938,38629.99609,37585.62109,37750.45313,,
04-05-2022,37748.01172,39902.94922,37732.05859,39698.37109,,
05-05-2022,39695.74609,39789.28125,35856.51563,36575.14063,,
06-05-2022,36573.18359,36624.35938,35482.13281,36040.92188,,
07-05-2022,36042.50391,36129.92578,34940.82422,35501.95313,,
08-05-2022,35502.94141,35502.94141,33878.96484,34059.26563,,
09-05-2022,34060.01563,34222.07422,30296.95313,30296.95313,,
10-05-2022,30273.6543,32596.30859,29944.80273,31022.90625,,
11-05-2022,31016.18359,32013.40234,28170.41406,28936.35547,,
12-05-2022,28936.73438,30032.43945,26350.49023,29047.75195,,
13-05-2022,29030.91016,30924.80273,28782.33008,29283.10352,,
14-05-2022,29285.64258,30192.80273,28702.91016,30101.26563,,
15-05-2022,30098.58594,31308.19141,29527.74023,31305.11328,,
16-05-2022,31304.375,31305.3418,29251.88477,29862.91797,,
17-05-2022,29862.4082,30694.49023,29570.30273,30425.85742,,
18-05-2022,30424.47852,30618.7168,28720.27148,28720.27148,,
19-05-2022,28720.35938,30430.75195,28708.95508,30314.33398,,
20-05-2022,30311.11914,30664.97656,28793.60547,29200.74023,,
21-05-2022,29199.85938,29588.86914,29027.39453,29432.22656,,
22-05-2022,29432.47266,30425.86133,29275.18359,30323.72266,,
23-05-2022,30309.39648,30590.58594,28975.56055,29098.91016,,
24-05-2022,29101.125,29774.35547,28786.58984,29655.58594,,
25-05-2022,29653.13477,30157.78516,29384.94922,29562.36133,,
26-05-2022,29564.77734,29834.16016,28261.90625,29267.22461,,
27-05-2022,29251.14063,29346.94336,28326.61328,28627.57422,,
28-05-2022,28622.625,28814.90039,28554.56641,28814.90039,,
29-05-2022,29019.86719,29498.00977,28841.10742,29445.95703,,
30-05-2022,29443.36523,31949.63086,29303.57227,31726.39063,,
31-05-2022,31723.86523,32249.86328,31286.1543,31792.31055,,
01-06-2022,31792.55469,31957.28516,29501.58789,29799.08008,,
02-06-2022,29794.89063,30604.73438,29652.70508,30467.48828,,
03-06-2022,30467.80664,30633.03516,29375.68945,29704.39063,,
04-06-2022,29706.13867,29930.56445,29500.00586,29832.91406,,
05-06-2022,29835.11719,30117.74414,29574.44922,29906.66211,,
06-06-2022,29910.2832,31693.29102,29894.1875,31370.67188,,
07-06-2022,31371.74219,31489.68359,29311.68359,31155.47852,,
08-06-2022,31151.48047,31253.69141,29944.4043,30214.35547,,
09-06-2022,30215.2793,30609.31055,30020.26563,30111.99805,,
10-06-2022,30110.33008,30245.80859,28978.14648,29083.80469,,
11-06-2022,29084.66602,29401.91602,28236.21289,28360.81055,,
12-06-2022,28373.51367,28502.68555,26762.64844,26762.64844,,
13-06-2022,26737.57813,26795.58984,22141.25781,22487.38867,,
14-06-2022,22487.98633,23018.95117,20950.81836,22206.79297,,
